22, 6161, 37, 49855555, 0.0006009615384615385
22, 6161, 13, 37087897, 0.0009170572651314449
22, 6161, 9, 14669231, 0.0001611733419292449
22, 6161, 1, 10732131, 0.00016623261483903143
22, 6161, 1, 89981, 9.739943508327652e-05
22, 6161, 1, 17099411, 8.775778850372971e-05
22, 6161, 1, 62769168, 5.723279439118615e-05
22, 6161, 1, 3226531, 2.907822041291073e-05
22, 6161, 1, 24165040, 0.00019911819086900867
22, 6161, 1, 21698978, 0.00025581990278843696
22, 6161, 1, 218827, 0.000257201646090535
22, 6161, 1, 1691093, 5.701904436081651e-05
22, 6161, 1, 60311, 5.680204487361545e-05
22, 6161, 1, 2392146, 3.798237617745366e-05
22, 6161, 1, 26623979, 3.232166521219173e-05
22, 6161, 6, 13401237, 0.00012083862002295934
22, 6161, 1, 63141, 0.0003713118734112136
22, 6161, 1, 826179, 0.0007965180781156658
22, 6161, 16, 1284, 0.00012689281786650876
22, 6161, 20, 123, 0.017896919886319994
22, 6161, 27, 146, 0.001753866959682191
22, 6161, 13, 101, 0.008751709569092275
22, 6161, 7, 101, 0.002501952772937571
22, 6161, 4, 101, 0.0004751949587305719
22, 6161, 8, 176, 3.331845571734288e-05
22, 6161, 2, 101, 3.329063549509914e-05
22, 6161, 3, 101, 5.040470579098422e-05
22, 6161, 5, 173, 2.3523633588754848e-06
22, 6161, 15, 690, 7.978454980171545e-07
22, 6161, 11, 167, 9.53260046700943e-07
22, 6161, 25, 167, 3.8231506106288365e-07
22, 6161, 89, 1202, 2.1873246722567393e-07
14, 14107, 80, 49855703, 0.104441360166551
14, 14107, 9, 14669231, 0.0013049819605434865
14, 14107, 1, 17099411, 2.871912693854107e-05
14, 14107, 1, 3226531, 5.710696133858717e-05
14, 14107, 1, 24165040, 5.58768474282681e-05
14, 14107, 1, 21698978, 0.00011167257600714705
14, 14107, 1, 218827, 5.612932195779075e-05
14, 14107, 1, 1691093, 5.600828922680557e-05
14, 14107, 1, 2392146, 0.00025969207939157855
14, 14107, 1, 95036, 2.967535165291709e-05
14, 14107, 1, 20022908, 8.650020183380428e-05
14, 14107, 1, 63141, 0.00011219252236838414
14, 14107, 1, 826179, 5.5847202055177036e-05
14, 14107, 30, 11086, 0.002719361856417694
14, 14107, 35, 1750, 0.0004086636697997548
14, 14107, 33, 1467, 6.0182956186807895e-05
14, 14107, 16, 1284, 8.34741960391494e-05
14, 14107, 20, 123, 0.0005945745076179859
14, 14107, 27, 146, 0.00010409076714895389
14, 14107, 13, 101, 0.0006661084043848964
14, 14107, 7, 101, 0.003408353949991593
14, 14107, 4, 101, 0.0003807701584600083
14, 14107, 21, 1374, 5.987913626648979e-05
14, 14107, 8, 176, 4.1637708218901924e-06
14, 14107, 2, 101, 4.757158379329674e-05
14, 14107, 169, 11459, 4.334708880951555e-06
14, 14107, 6, 284, 4.727002972969736e-07
14, 14107, 3, 101, 5.75767211004193e-05
14, 14107, 5, 173, 2.373692134838829e-05
